scientific_name,common_name,city,state,count,mean_h
Ulmus parvifolia,Chinese elm,Houston,Texas,2191,
Syzygium paniculatum,Brush cherry,Los Angeles,California,2179,
Eucalyptus ficifolia,Red flowering gum,Los Angeles,California,2179,
Quercus rubra,Northern red oak,Rochester,New York,2178,
Pinus radiata,Monterey pine,Los Angeles,California,2165,
Juniperus,Hollywood juniper,Los Angeles,California,2149,
Liquidambar styraciflua,Sweetgum,St. Louis,Missouri,2140,
Myoporum,Myoporum,San Diego,California,2127,
Pinus radiata,Monterey pine,San Francisco,California,2117,
Syagrus romanzoffiana,Queen palm,Ontario,California,2109,
Acacia,Acacia,San Diego,California,2103,
Carpinus betulus,European hornbeam,New York,New York,2099,
Celtis occidentalis,Hackberry,Washington DC,District of Columbia,2092,
Jacaranda mimosifolia,Jacaranda,Irvine,California,2063,
Fraxinus pennsylvanica,Green ash,Grand Rapids,Michigan,2057,
Acer ginnala,Amur maple,New York,New York,2049,
Prunus serrulata,Kwanzan cherry,Washington DC,District of Columbia,2034,
Amelanchier,Serviceberry,New York,New York,2032,
Quercus bicolor,Swamp white oak,Columbus,Ohio,2025,
Pyrus calleryana,Ornamental pear,New Orleans,Louisiana,2024,
Ginkgo biloba,Ginkgo,Portland,Oregon,2023,
Gleditsia triacanthos,Thornless honeylocust,Pittsburgh,Pennsylvania,2019,78.401
Styrax japonicus,Japanese snowbell tree,Seattle,Washington,2010,
Eucalyptus polyanthemos,Silver dollar gum,Los Angeles,California,2005,
Pyrus calleryana,Bradford pear,San Diego,California,1986,
Liquidambar styraciflua,Sweetgum,Overland Park,Kansas,1983,
Sabal palmetto,Palmetto,New Orleans,Louisiana,1979,
Cercis,Redbud,Washington DC,District of Columbia,1963,
Magnolia grandiflora,Southern magnolia,Orlando,Florida,1952,
Quercus phellos,Willow oak,Houston,Texas,1945,
Cornus kousa,Kousa dogwood,Seattle,Washington,1940,
Liquidambar styraciflua,Sweetgum,Sacramento,California,1933,
Cladrastis lutea,Yellowwood,Washington DC,District of Columbia,1931,
Fraxinus pennsylvanica,Green ash,Overland Park,Kansas,1928,
Acer truncatum,Pacific sunset maple,Seattle,Washington,1925,
Pinus ponderosa,Ponderosa pine,Colorado Springs,Colorado,1924,
Acer rubrum,Red maple,Sacramento,California,1924,
Prunus,Cherry/plum,St. Louis,Missouri,1922,
Syringa reticulata,Ivory silk lilac,Buffalo,New York,1921,
Melaleuca quinquenervia,Cajeput tree,Los Angeles,California,1921,
Quercus acutissima,Sawtooth oak,Columbus,Ohio,1918,
Malus domestica,Apple,Portland,Oregon,1915,
Zelkova serrata,Zelkova,Portland,Oregon,1911,
Pyrus kawakamii,Evergreen pear,San Francisco,California,1910,
Prunus virginiana,Chokecherry,Washington DC,District of Columbia,1909,
Platanus acerifolia,London plane,San Diego,California,1907,
Quercus virginiana,Live oak,Plano,Texas,1906,
Ulmus,Hybrid elm,Denver,Colorado,1903,
Acer saccharum,Sugar maple,Madison,Wisconsin,1893,
Gleditsia triacanthos,Shademaster honeylocust,Aurora,Colorado,1891,
Malus,Crab apple,Madison,Wisconsin,1891,
Cercis,Redbud,Houston,Texas,1881,
